trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,15,-15.018258098179771,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-128.25798422533606,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-111.72383378931309,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-117.2905291573591,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,9,-102.13934247981773,"{0: 5, 1: 0, 2: 3, 3: 2, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-93.88395635036508,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-51.14224104878769,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,8,-25.284215858957072,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,13.131675710207023,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-56.94171114592304,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-14.759870213786316,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-51.90757380540869,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,10,-62.75037173823272,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-78.48094963412285,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,14,9.771340695236875,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-72.51073619271561,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,8.536755836701893,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,18,13.081999614941953,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,11,-37.269542962879854,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,37.47519123522336,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-8.658944401982524,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,15.80550729622482,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-0.19040959180034855,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-52.62450083960673,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,15,19.19735990684537,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,15,20.495295603094238,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-5.494213546824964,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,16,3.9616808187975936,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,31.66863359118912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,10,-26.90845138454159,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
