trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.991}",35,0,-199.32657213672712,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.982081}",25,0,-144.2469109414361,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9732422709999999}",25,0,-199.47894860312755,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.964483090561}",30,0,-197.42721239491203,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.955802742745951}",20,6,-104.46334132629599,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9472005180612374}",20,6,-53.17305098224782,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9386757133986863}",20,0,-155.2135657150996,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9302276319780981}",20,8,7.8707131352560635,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9218555832902952}",20,0,-93.48698962642577,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9135588830406826}",25,0,-139.31230320266886,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9053368530933164}",20,14,-11.42517111893799,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8971888214154765}",20,0,-112.33596100095014,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8891141220227372}",25,0,-71.84800572841912,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8811120949245326}",20,0,-35.744026056451666,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8731820860702117}",25,0,-33.61572604164352,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8653234472955799}",20,0,-37.24136252135291,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8575355362699196}",20,0,-49.12159802601336,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8498177164434904}",20,0,-61.64612906845704,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8421693569954989}",20,14,-13.23077978210322,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8345898327825394}",20,0,-156.12399518569885,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8270785242874965}",20,0,-82.80433376441457,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8196348175689091}",30,0,-107.41904814177632,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8122581042107889}",25,0,-175.46378356350328,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8049477812728918}",20,8,-12.260116003292776,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7977032512414358}",30,23,12.498738245433236,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7905239219802629}",25,0,-51.908719146698246,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7834092066824405}",25,0,-97.29148188133438,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7763585238222985}",20,0,-3.3083952590099956,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7693712971078978}",20,1,-59.58268968319581,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.7624469554339267}",20,0,-90.4927644269254,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7555849328350214}",25,0,-43.2456075823737,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7487846684395062}",20,0,-135.89610131869955,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7420456064235507}",25,0,-160.87752890220145,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7353671959657386}",20,0,-45.48322284964677,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.728748891202047}",30,0,-153.52029671437748,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.7221901511812285}",25,0,-121.29499589329424,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.7156904398205975}",25,0,-28.982380468022477,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.7092492258622121}",20,4,-118.19315181367645,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.7028659828294522}",30,11,-53.00403766710337,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6965401889839872}",20,0,-127.32567194697573,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.6902713272831312}",20,1,-147.4831451085437,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.6840588853375831}",20,0,-118.76218507258753,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6779023553695448}",20,0,-107.53143831328889,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6718012341712188}",20,7,-44.089915064174875,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.665755023063678}",20,0,-97.24749699975932,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6597632278561049}",20,0,-42.608075375396616,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6538253588053998}",20,0,-9.78238411815165,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6479409305761512}",25,0,-135.05012738920271,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.6421094622009659}",20,0,-43.997731686950374,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6363304770411572}",25,0,-3.765700631120442,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6306035027477868}",20,0,-48.75382603040683,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.6249280712230567}",25,0,-134.46398624689283,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.6193037185820491}",25,3,-48.738355681698536,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.6137299851148107}",25,0,-81.7683109625281,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.6082064152487774}",20,0,-142.59199439652136,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.6027325575115384}",20,0,-40.29592603223797,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5973079644939345}",20,15,1.2176365734445689,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5919321928134892}",20,0,-3.402669747701922,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5866048030781678}",30,0,-44.66099406734399,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5813253598504642}",25,0,-56.11840700116305,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.57609343161181}",25,0,-64.68109044921637,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
