trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97}",25,0,-145.71659263501937,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.9409}",20,0,-75.87261241441544,"{0: 10, 1: 6, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.912673}",20,0,-116.12856694093067,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8852928099999999}",25,0,-185.12521285742875,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8587340256999999}",20,0,-52.57114163796017,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8329720049289998}",20,0,-67.41289495059539,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8079828447811298}",20,0,-78.92416839872087,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.7837433594376959}",25,0,-188.75049691026257,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.7602310586545651}",20,0,-53.80343169498532,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.7374241268949281}",35,0,-203.30864190252808,"{0: 23, 1: 2, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.7153014030880802}",25,0,-33.60138682642388,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.6938423609954377}",20,0,-95.7155477114543,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.6730270901655746}",25,0,-39.86675923612587,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.6528362774606074}",20,0,-117.31345806937915,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.6332511891367891}",25,0,-115.22800629124418,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.6142536534626855}",30,0,-144.4847405170036,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.5958260438588049}",25,0,-115.27433182047727,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.5779512625430407}",20,0,-59.34199151604244,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.5606127246667495}",20,0,-61.45296612338172,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.543794342926747}",20,0,-182.3800587997678,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",30,0,-155.3380413938999,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-122.99966847879065,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-105.38223467467876,"{0: 16, 1: 9, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-129.2419190751807,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-64.19878682444411,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-100.73984471343346,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,4,-97.67275470337682,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,0,-156.52339558359935,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-88.17488893379578,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-137.57911341333872,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
